Charde Marshall;Regional Director;San Francisco;36;16.10.2018
Colleen Hurst;Javascript Developer;San Francisco;39;15.09.2009
Dai Rios;Personnel Lead;Edinburgh;35;26.09.2012
Donna Snider;Customer Support;New York;27;25.01.2011
Doris Wilder;Sales Assistant;Sydney;23;20.09.2010
Finn Camacho;Support Engineer;San Francisco;47;07.07.2019
Fiona Green;Chief Operating Officer;San Francisco;48;11.03.2010
Garrett Winters;Accountant;Tokyo;63;25.07.2011
Gavin Cortez;Team Leader;San Francisco;22;26.10.2018
Gavin Joyce;Developer;Edinburgh;42;22.12.2010
